Date,City,State,AreaType,School,Fatalities,Wounded,Source,Desc,Year,Lat,Lon
11/14/1991,Houston,Texas,urban,High School,0,,Pah,,1991,29.7604267,-95.3698028
11/25/1991,Brooklyn,New York,,High School,1,0,Wikp,"Thomas Jefferson High School shooting: During an argument between two teens, a stray bullet killed a third, uninvolved 16-year-old student. In 1992, the 14-year-old shooter was sentenced to three to nine years in prison.",1991,40.6781784,-73.9441579
12/12/1991,Kent,Ohio,,College,1,0,Wikp,"51-year-old custodian, John Frazier, was killed outside a campus auditorium of Kent State University.",1991,41.1537,-81.3579
1/29/1992,Kent,Ohio,,College,0,1,Wikp,"26-year-old graduate student, Sarah Smith, was wounded in the chest as she was waiting for her husband to pick her up at Kent State University.",1992,41.1537,-81.3579
2/26/1992,Brooklyn,New York,,High School,2,0,Wikp,"Thomas Jefferson High School second shooting: 15-year-old killed fellow students, 16-year-old Tyrone Sinkler and 17-year-old Ian Moore, on the school's second-floor hallway. In 1993, he was sentenced to between 6 and twenty years in prison. He was released on parole in 1998.",1992,40.6781784,-73.9441579
5/1/1992,Olivehurst,California,,High School,3,10,Wikp,"Lindhurst High School shooting: Former student killed three students and one teacher, and wounded nine other students and teacher before surrendering to police.",1992,39.0954484,-121.5521858
5/14/1992,Napa,California,urban,Middle School,0,,Pah,,1992,38.2975381,-122.286865
9/11/1992,Lincoln,Texas,urban,High School,0,,Pah,,1992,30.2874348,-96.9633164
10/12/1992,Lincoln,Nebraska,urban,College,0,,Pah,,1992,40.8257625,-96.6851982
10/12/1992,Tucson,Arizona,urban,High School,1,,Pah,,1992,32.2217429,-110.926479
10/19/1992,The Bronx,New York,,High School,0,3,Wikp,Two 14-year-old girls and a 16-year-old boy were shot at outside a Bronx high school.,1992,40.815304,-73.80185
11/4/1992,Detroit,Michigan,,High School,0,11,Wikp,"11 students were hit by gunfire during a four-hour period in three separate school incidents, five were hospitalized. Six students at Finney High School were grazed by buckshot after three ski-masked gunmen opened fire in a crowded hallway. A 14-year-old was in custody for shooting three Foch Middle School students as they passed by the Marcus Garvey Academy. In the third incident, 16-year-old DeWayne Boyd was hit in the chest, when shots were fired at two Mumford High School students.",1992,42.331427,-83.0457538
11/10/1992,Chicago,Illinois,urban,Elementary School,0,,Pah,,1992,41.8781136,-87.6297982
11/13/1992,Houston,Texas,urban,High School,1,,Pah,,1992,29.7604267,-95.3698028
11/16/1992,Birmingham,Alabama,urban,High School,1,,Pah,,1992,33.5206608,-86.80249
11/20/1992,Chicago,Illinois,urban,High School,1,,Pah,,1992,41.8781136,-87.6297982
11/23/1992,Buffalo,New York,urban,High School,0,,Pah,,1992,42.8864468,-78.8783689
12/3/1992,Chicago,Illinois,urban,Elementary School,1,,Pah,,1992,41.8781136,-87.6297982
12/14/1992,Great Barrington,Massachusetts,suburban,College,2,,Pah,,1992,42.1959798,-73.362008
12/14/1992,Great Barrington,Massachusetts,,College,2,4,Wikp,"A student at Bard College at Simon's Rock, shot and killed one student and one professor, wounded three students and a security guard. After his rifle jammed, the shooter later surrendered to authorities without further incident.",1992,42.1959798,-73.362008
1/6/1993,Brentwood,New York,,High School,0,1,Wikp,Brentwood High School. Former student was shot by two gunmen during a basketball game between Brentwood High School and Sachem High School. The assault was over a dispute about the theft of a gold chain.,1993,40.7812,-73.2462
1/8/1993,Kinzers,Pennsylvania,rural,High School,1,,Pah,,1993,39.998466,-76.0615923
1/12/1993,Miami,Florida,urban,High School,1,,Pah,,1993,25.7616798,-80.1917902
1/18/1993,Grayson,Kentucky,,High School,2,0,Wikp,"East Carter High School shooting: 17-year-old student at East Carter High School, fatally shot his 48-year-old English teacher, Deanna McDavid, and 52-year-old head custodian, Marvin Hicks.",1993,38.3325812,-82.9485023
1/21/1993,Los Angeles,California,urban,High School,1,,Pah,,1993,34.0522342,-118.2436849
2/1/1993,Redmond,Washington,urban,Middle School,1,,Pah,,1993,47.6739881,-122.121512
2/1/1993,Amityville,New York,suburban,High School,1,,Pah,,1993,40.6789893,-73.4170673
2/4/1993,Clayton County,Georgia,urban,High School,1,,Pah,,1993,33.5571944,-84.375233
2/8/1993,Middle River,Minnesota,rural,Middle School,1,,Pah,,1993,48.4341394,-96.1641892
2/8/1993,Washington DC,District of Columbia,urban,High School,1,,Pah,,1993,38.9071923,-77.0368707
2/18/1993,Dallas,Texas,urban,High School,1,,Pah,,1993,32.7766642,-96.7969879
2/22/1993,Los Angeles,California,,High School,1,0,Wikp,15-year-old fatally shot 17-year-old Michael Shean Ensley in the corridor of the Reseda High School's science building.,1993,34.0522342,-118.2436849
2/26/1993,Gloucester,Massachusetts,suburban,High School,0,,Pah,,1993,42.6159285,-70.6619888
3/18/1993,Harlem,Georgia,suburban,High School,1,,Pah,,1993,33.4145834,-82.3126237
3/25/1993,St. Louis,Missouri,urban,High School,1,,Pah,,1993,38.6270025,-90.1994042
4/3/1993,Sacramento,California,urban,High School,1,,Pah,,1993,38.5815719,-121.4943996
4/14/1993,Irving,Texas,urban,High School,1,,Pah,,1993,32.8140177,-96.9488945
4/15/1993,Acushnet,Massachusetts,,Middle School,1,0,Wikp,44-year-old entered Ford Middle School and took three hostages. He killed school nurse Carol Day. He was found not guilty of the murder by reason of insanity.,1993,41.7223696,-70.8952337
4/16/1993,Sacramento,California,urban,High School,1,,Pah,,1993,38.5815719,-121.4943996
4/26/1993,Raleigh,North Carolina,urban,High School,1,,Pah,,1993,35.7795897,-78.6381787
5/14/1993,Irving,Texas,,High School,1,0,Wikp,"17-year-old shooter killed 17-year-old Jose Balderas, with a .38 caliber revolver in a hallway in Nimitz High School during a dispute over girls.",1993,32.8140177,-96.9488945
5/24/1993,Red Hill,Pennsylvania,rural,High School,1,,Pah,,1993,40.3728778,-75.4810131
5/24/1993,Pennsburg,Pennsylvania,,High School,1,0,Wikp,15-year-old student killed another student who had bullied him at Upper Perkiomen High School. He was charged as an adult and sentenced to between twelve and twenty-five years in prison.,1993,40.3909,-75.4921
5/27/1993,New Orleans,Louisiana,urban,High School,1,,Pah,,1993,29.9510658,-90.0715323
7/8/1993,Ogden,Utah,urban,College,1,,Pah,,1993,41.223,-111.9738304
8/31/1993,Atlanta,Georgia,urban,High School,1,,Pah,,1993,33.7489954,-84.3879824
9/2/1993,Dallas,Texas,urban,High School,1,,Pah,,1993,32.7766642,-96.7969879
9/17/1993,Sheridan,Wyoming,,Middle School,1,4,Wikp,29-year-old wounded four students before killing himself at Central Junior High School.,1993,44.7971939,-106.9561791
10/12/1993,New Castle,Delaware,suburban,High School,1,,Pah,,1993,39.6620397,-75.5668166
10/14/1993,Detroit,Michigan,urban,High School,1,,Pah,,1993,42.331427,-83.0457538
11/1/1993,Chicago,Illinois,urban,High School,1,,Pah,,1993,41.8781136,-87.6297982
11/4/1993,Jacksonville,Florida,urban,High School,1,,Pah,,1993,30.3321838,-81.655651
11/4/1993,New Britain,Connecticut,,High School,1,0,Wikp,"18-year-old Miguel DeJesus, was gunned down on the steps of New Britain High School. Rival gang members, 24-year-old and 23-year-old were charged.",1993,41.6612104,-72.7795419
11/5/1993,Bay Springs,Mississippi,rural,High School,1,,Pah,,1993,31.9790425,-89.2872843
11/29/1993,Kansas City,Missouri,urban,High School,1,,Pah,,1993,39.0997265,-94.5785667
12/1/1993,Wauwatosa,Wisconsin,,High School,1,0,Wikp,"Wauwatosa West High School shooting: 21-year-old former student shot 46-year-old associate principal, Dale Breitlow, three times with a revolver in a second-floor hallway of Wauwatosa West High School.  Shooter was found guilty of the murder and sane at the time of the shooting, he was sentenced to life in prison. His sentence was upheld by the state Court of Appeals in April 1997.",1993,43.0494572,-88.0075875
12/8/1993,Savannah,Georgia,urban,High School,1,,Pah,,1993,32.0835407,-81.0998342
12/17/1993,Chelsea,Michigan,suburban,High School,1,,Pah,,1993,42.3180919,-84.0205029
1/20/1994,Kennard,Texas,rural,High School,0,,Pah,,1994,31.3596258,-95.1832721
1/20/1994,Hacienda Heights,California,urban,High School,1,,Pah,,1994,33.9930677,-117.9686755
1/24/1994,Columbia,South Carolina,,High School,1,0,Wikp,"18-year-old shot fellow Eau Claire High School student, 17-year-old Earnest Dunlap, following an argument the week before. The shooter was arrested shortly after at his home. A 16-year-old boy was also arrested for kicking Dunlap after the shooting.",1994,34.0007104,-81.0348144
1/26/1994,Columbia,South Carolina,urban,High School,1,,Pah,,1994,34.0007104,-81.0348144
1/31/1994,Seattle,Washington,,Middle School,1,0,Wikp,"24-year-old former student at Whitman Middle School in North Seattle, killed 45-year-old Neal Summers, who had sexually abused the shooter since he was thirteen. He served nine years in prison. He later received a $250,000 settlement in a civil suit against Seattle Schools, charging that Summers had not been adequately supervised.",1994,47.6062095,-122.3320708
2/8/1994,Detroit,Michigan,urban,High School,1,,Pah,,1994,42.331427,-83.0457538
2/14/1994,Belmont,California,suburban,High School,1,,Pah,,1994,37.5202145,-122.2758008
2/18/1994,Spartanburg,South Carolina,,High School,0,1,Wikp,"At around 10 p.m., 24-year-old Roosevelt Johnson was shot in the leg, after a basketball game at Spartanburg High School.",1994,34.9498,-81.932
3/1/1994,Boonville,Missouri,,High School,2,0,Wikp,"33-year-old, a hunter and ex-convict, killed 58-year-old Richard Vancena, a cafeteria manager, and 33-year-old Robin Michelle Coleman, a cook, in the mess hall of Kemper Military School and College. He was drunk and looking for his wife Anna Hayes with whom he had a fight the night before. No students were harmed.",1994,38.9736392,-92.7432418
3/15/1994,Charleston,South Carolina,urban,High School,1,,Pah,,1994,32.7764749,-79.9310512
3/22/1994,Riveria Beach,Florida,urban,Middle School,0,,Pah,,1994,26.7753405,-80.0580969
3/23/1994,Seattle,Washington,urban,High School,1,,Pah,,1994,47.6062095,-122.3320708
3/25/1994,Woodstock,Georgia,suburban,High School,0,,Pah,,1994,34.1014873,-84.5193754
4/12/1994,Butte,Montana,,Elementary School,1,0,Wikp,"10-year-old, teased because his parents have AIDS, killed an 11-year-old student on the playground of Margaret Leary Elementary School. Shooter was sent to a private residential treatment center.",1994,46.0038232,-112.5347775
4/13/1994,Los Angeles,California,urban,Elementary School,0,,Pah,,1994,34.0522342,-118.2436849
4/21/1994,Nashville,Tennessee,,Middle School,1,0,Wikp,"14-year-old  killed 13-year-old Terrence Murray, in music class at J.T. Moore Middle School.",1994,36.1626638,-86.7816016
5/2/1994,North Miami,Florida,suburban,High School,1,,Pah,,1994,25.8900949,-80.1867138
5/25/1994,Union,Kentucky,suburban,High School,4,,Pah,,1994,38.9458951,-84.680501
7/25/1994,Ottumwa,Iowa,suburban,High School,1,,Pah,,1994,41.0160293,-92.4083022
9/7/1994,Hollywood,California,urban,High School,1,,Pah,,1994,34.0928092,-118.3286614
10/12/1994,Greensboro,North Carolina,,High School,1,1,Wikp,"After being suspended for smoking, 16-year-old returned to Grimsley High School with a 9 mm pistol. After wounding assistant principal, Bill Whites, shooter took his own life.",1994,36.0726354,-79.7919754
10/17/1994,Chicago,Illinois,,High School,0,1,Wikp,"A 16-year-old female student was shot in the thigh outside Hubbard High School when a teenage boy rode past on a bicycle and fired into a crowd. It is believed the shooting was meant for rival gang members, but the girl was hit instead. The boy lived in the neighborhood.",1994,41.8781136,-87.6297982
11/5/1994,San Leandro,California,urban,Elementary School,1,,Pah,,1994,37.7249296,-122.1560768
11/7/1994,Wickliffe,Ohio,,Middle School,1,4,Wikp,"Wickliffe Middle School shooting: 37-year-old former student killed 41-year-old custodian, Pete Christopher, at Wickliffe Middle School, and wounded 47-year-old assistant principal, Jim Anderson, 47-year-old police officer, Thomas Schmidt, and 50-year-old teacher, Lowell Grimm, before being injured and taken into custody.",1994,41.6053266,-81.4534492
11/15/1994,Tacoma,Washington,urban,High School,1,,Pah,,1994,47.2528768,-122.4442906
12/14/1994,Albany,New York,,College,0,1,Wikp,"The shooter, 26, a military veteran and psychology major at the State University of New York at Albany held hostage a large lecture hall from 9:10 a.m. until 11:30 a.m. Armed with a .270-caliber rifle with more than two dozen rounds of ammunition and a hunting knife, walked into the ancient history class of Hans Pohlsander, saying, ""Don't worry. Nobody move. You guys are getting held hostage."" The standoff ended when the shooter had his gun taken away by Jason McEnaney, a 19-year-old student. McEnaney was shot in the leg, groin, and abdomen in the exchange. The shooter suffered from a well-document history of mental illness, argued during the hostage crisis that the government had implanted a control chip in his head during a procedure at Albany Medical Center, and ultimately committed suicide in 1999 in prison while serving a 15 1/2 year sentence.",1994,42.6512,-73.755
1/5/1995,Washington DC,District of Columbia,urban,High School,1,,Pah,,1995,38.9071923,-77.0368707
1/10/1995,Palm Beach Gardens,Florida,suburban,High School,0,,Pah,,1995,26.8233946,-80.1386547
1/12/1995,Seattle,Washington,,High School,0,2,Wikp,A 15-year-old student at Garfield High School left school during the day and returned with his grandfather's handgun. He wounded two students.,1995,47.6062095,-122.3320708
1/23/1995,Redlands,California,urban,Middle School,1,,Pah,,1995,34.0555693,-117.1825381
1/26/1995,Chapel Hill,North Carolina,urban,College,2,,Pah,,1995,35.9131996,-79.0558445
2/2/1995,Long Beach,California,urban,High School,1,,Pah,,1995,33.7700504,-118.1937395
8/29/1995,Laredo,Texas,urban,Middle School,1,,Pah,,1995,27.5305671,-99.4803241
9/12/1995,Memphis,Tennessee,urban,High School,1,,Pah,,1995,35.1495343,-90.0489801
9/14/1995,Olathe,Kansas,urban,High School,2,,Pah,,1995,38.8813958,-94.8191285
9/29/1995,Tavares,Florida,,Middle School,1,0,Wikp,"14-year-old student killed 13-year-old Joey Summerall, at Tavares Middle School with a handgun that he had stolen from his neighbor's home. He was convicted and sentenced to life in prison without the possibility of parole.",1995,28.8041579,-81.725632
10/12/1995,Blackville,South Carolina,,High School,2,1,Wikp,"Blackville-Hilda High School shooting: Suspended student, 16-years-old, killed 56-year-old math teacher, Phyllis Senn, and wounded 38-year-old math teacher, Johhnny Thompson, before committing suicide at Blackville-Hilda High School.",1995,33.3579297,-81.2706606
11/15/1995,Lynnville,Tennessee,,High School,2,1,Wikp,Richland High School shooting: 17-year-old killed a student and teacher at Richland High School and seriously wounded another teacher with a rifle.,1995,35.3767432,-87.0061171
11/28/1995,queens,New York,urban,High School,1,,Pah,,1995,40.7282239,-73.7948516
1/19/1996,District of Columbia,District of Columbia,urban,Middle School,1,,Pah,,1996,38.9071923,-77.0368707
1/19/1996,Washington,D.C.,,High School,1,0,Wikp,Two masked gunmen killed 14-year-old Damion Blocker in a stairwell at Winston Education Center. 16-year-old shooter was sentenced to 41 years to life in prison.,1996,38.9071923,-77.0368707
1/26/1996,memphis,Tennessee,urban,High School,1,,Pah,,1996,35.1495343,-90.0489801
2/2/1996,Moses Lake,Washington,,Middle School,3,1,Wikp,Frontier Middle School shooting: 14-year-old killed a teacher and two students and wounded another student when he opened fire on his algebra class. Shooter was sentenced to life in prison.,1996,47.1301417,-119.2780771
2/8/1996,Palo Alto,California,urban,High School,1,,Pah,,1996,37.4418834,-122.1430195
2/29/1996,St. Louis,Missouri,,High School,1,1,Wikp,"30-year-old hired 23-year-old to kill 15-year-old Kyunia Taylor, as she rode on a school bus bound for Beaumont High School. Taylor was pregnant with a child fathered by the 30-year-old, a baby girl was delivered by emergency caesarean section, but died 23 days later. The bus driver was also shot, he survived.",1996,38.6270025,-90.1994042
3/11/1996,New London,North Carolina,rural,High School,1,,Pah,,1996,35.4431965,-80.2192225
4/11/1996,Talledega,Alabama,suburban,High School,1,,Pah,,1996,33.4359416,-86.1058048
6/4/1996,Hemet,California,urban,High School,1,,Pah,,1996,33.7475203,-116.9719684
8/15/1996,San Diego,California,,College,3,0,Wikp,"San Diego State University shooting: At San Diego State University, 36-year-old graduate student killed three professors, 32-year-old Chen Liang, 44-year-old D. Preston Lowrey III, and 36-year-old Costas Lyrintzis, that he believed were involved in a conspiracy against him. The shooter was sentenced to serve three life terms.",1996,32.715738,-117.1610838
8/26/1996,San Antonio,Texas,urban,College,1,,Pah,,1996,29.4241219,-98.4936282
9/17/1996,State College,Pennsylvania,,College,1,2,Wikp,19-year-old killed one student and injured two outside Pennsylvania State University's HUB.,1996,40.7933949,-77.8600012
9/25/1996,Decatur,Georgia,,High School,1,2,Wikp,"16-year-old killed English teacher, Horace Morgan, on the steps of Dekalb Alternative School. Shooter was found not guilty by reason of insanity and was committed indefinitely to a state mental hospital.",1996,33.7748275,-84.2963123
10/2/1996,Philadelphia,Pennsylvania,urban,Elementary School,2,,Pah,,1996,39.9525839,-75.1652215
10/4/1996,Playa del Rey,California,suburban,High School,1,,Pah,,1996,33.9564194,-118.4422317
10/9/1996,Sherwood,Arkansas,,-,1,0,Wikp,"14-year-old killed 20-year-old James Earl Routt, as they rode a school bus.",1996,34.8151,-92.2243
10/13/1996,St. Louis,Missouri,urban,High School,1,,Pah,,1996,38.6270025,-90.1994042
10/16/1996,West Lafayette,Indiana,suburban,College,1,,Pah,,1996,40.4258686,-86.9080655
11/27/1996,Sacramento,California,urban,High School,1,,Pah,,1996,38.5815719,-121.4943996
1/11/1997,Brooklyn,New York,urban,High School,1,,Pah,,1997,40.6781784,-73.9441579
1/27/1997,West Palm Beach,Florida,,Middle School,1,0,Wikp,"14-year-old Conniston Middle School student fatally shot 14-year-old classmate, John Pierre Kamel, just minutes before school started, over a $40 debt.",1997,26.7153424,-80.0533746
1/31/1997,Tulsa,Oklahoma,urban,,1,,Pah,,1997,36.1539816,-95.992775
2/19/1997,Bethel,Alaska,,High School,2,2,Wikp,"Bethel Regional High School shooting: 16-year-old student killed Bethel Regional High School principal, Ron Edwards, and 15-year-old student, Joshua Palacios, and wounded two other students.",1997,60.7922222,-161.7558334
2/20/1997,Jacksonville,Florida,urban,High School,1,,Pah,,1997,30.3321838,-81.655651
3/18/1997,Detroit,Michigan,urban,High School,1,,Pah,,1997,42.331427,-83.0457538
10/1/1997,Pearl,Mississippi,,High School,3,7,Wikp,"Pearl High School shooting: 16-year-old murdered his 50-year-old mother, Mary, at home before killing his ex-girlfriend, 16-year-old student, Christina Menefee, and 17-year-old student, Lydia Kaye Dew, then wounding seven others at Pearl High School.",1997,32.2745912,-90.1320311
10/14/1997,Garland,Texas,urban,High School,1,,Pah,,1997,32.912624,-96.6388833
10/15/1997,Palmetto,Florida,,Middle School,0,1,Wikp,"After an argument between them the day before, 13-year-old took a .38 revolver from his mother's dresser drawer and shot 13-year-old Lincoln Middle School classmate, Trent Murray, in the back causing serious injury, then continued to fire three more shots in the general area of other students. Shooter was sentenced in 1998 to serve until his 18th birthday. His probation was set to end in October 2009.",1997,27.5214,-82.5723
10/22/1997,Norwalk,California,urban,High School,2,,Pah,,1997,33.9022367,-118.081733
11/13/1997,Sacramento,California,urban,Elementary School,1,,Pah,,1997,38.5815719,-121.4943996
12/1/1997,West Paducah,Kentucky,,High School,3,5,Wikp,"Heath High School shooting: Three students were killed and five wounded by 14-year-old shooter, as they participated in a prayer circle. He was sentenced to life in prison.",1997,37.0831102,-88.7442202
12/15/1997,Stamps,Arkansas,,High School,0,2,Wikp,"Concealed in a wooded area on school grounds, 14-year-old wounded two students as they were entering Stamps High School.",1997,33.3654024,-93.4951758
2/25/1998,Reed City,Michigan,rural,High School,1,,Pah,,1998,43.8750174,-85.5100498
3/1/1998,Philadelphia,Pennsylvania,,College,1,3,Wikp,"At around 4:15 p.m., gunfire broke out as a crowd streamed from the Palestra after a high school championship basketball game near the University of Pennsylvania. A 22-year-old man was shot in the back and killed, and a student working at the fine arts building was shot in the leg.",1998,39.9525839,-75.1652215
3/24/1998,Jonesboro,Arkansas,urban,Middle School,5,,Pah,,1998,35.8422967,-90.704279
3/24/1998,Craighead County,Arkansas,,Middle School,5,10,Wikp,"Westside Middle School shootings: 13-year-old and 11-year-old killed a teacher and four students, and wounded ten others, as Westside Middle School emptied during a fire alarm intentionally set off by the shooters.",1998,35.9572012,-94.4159616
3/25/1998,Coldwater,Michigan,suburban,High School,1,,Pah,,1998,41.9403263,-85.0005215
3/30/1998,Chapel Hill,North Carolina,urban,Middle School,0,,Pah,,1998,35.9131996,-79.0558445
4/24/1998,Edinboro,Pennsylvania,,Middle School,1,3,Wikp,"Parker Middle School dance shooting: 14-year-old student fatally shot 48-year-old teacher, John Gillette, and wounded two students and another teacher at an 8th grade graduation dance. He is serving a thirty to sixty-year sentence in a prison for young offenders.",1998,41.8742225,-80.1317236
4/28/1998,Pomona,California,urban,Elementary School,2,,Pah,,1998,34.055103,-117.7499909
5/1/1998,Buffalo,New York,urban,Elementary School,1,,Pah,,1998,42.8864468,-78.8783689
5/19/1998,Fayetteville,Tennessee,,High School,1,0,Wikp,"18-year-old shot 18-year-old Robert Creson, at Lincoln County High School in a dispute over a girl. Davis received a life sentence on July 29, 1999.",1998,35.1520266,-86.5705508
5/21/1998,Rialto,California,urban,High School,1,,Pah,,1998,34.1064001,-117.3703235
5/21/1998,Springfield,Oregon,,High School,4,23,Wikp,"Thurston High School shooting: After killing his parents at home, 15-year-old drove to Thurston High School, where he killed two students and wounded 23 others. After pleading guilty, he was sentenced to 111 years of prison.",1998,44.0462362,-123.0220289
5/27/1998,Pasadena,California,urban,Middle School,0,,Pah,,1998,34.1477849,-118.1445155
5/29/1998,Fort Lauderdale,Florida,urban,High School,2,,Pah,,1998,26.1224386,-80.1373174
6/15/1998,Richmond,Virginia,,High School,0,2,Wikp,"14-year-old student wounded 45-year-old basketball coach and history teacher, Gregory Carter, and 74-year-old Head Start volunteer, Eloise Wilson, in the hallway of Armstrong High School.",1998,37.5407246,-77.4360481
9/4/1998,San Bernardino,California,urban,College,2,,Pah,,1998,34.1083449,-117.2897652
9/12/1998,Glendale,California,urban,High School,0,,Pah,,1998,34.1425078,-118.255075
12/10/1998,Detroit,Michigan,,College,1,0,Wikp,"52-year-old Professor Andrzej Olbrot, was killed by 48-year-old graduate doctoral student at Wayne State University.",1998,42.331427,-83.0457538
1/8/1999,Carrollton,Georgia,,High School,1,1,Wikp,"15-year-old Andrea Garrett was found dead, and 17-year-old Jeff Miller seriously wounded in the girls' restroom at Central Carrollton County High School, after a suicide pact because Garrett's mother had previously forbidden her to see Miller.",1999,33.5801,-85.0766
1/21/1999,North Richland Hills,Texas,urban,High School,1,,Pah,,1999,32.8342952,-97.2289029
2/11/1999,Elgin,Illinois,urban,High School,0,,Pah,,1999,42.0354084,-88.2825668
4/16/1999,Notus,Idaho,,High School,0,0,Wikp,"15-year-old fired two shots from a shotgun near the front desk at Notus Jr. Sr. High School. There were no serious injuries, but some students were close enough to the blast to be grazed by shrapnel from the tile floor. Shooter had been undergoing treatment for bipolar disorder.",1999,43.7254385,-116.8012557
4/20/1999,Littleton,Colorado,,High School,15,21,Wikp,"Columbine High School massacre: 18-year-old and 17-year-old, students at Columbine High School, killed twelve students and one teacher. They injured 21 additional people, and three more were injured while attempting to escape the school. The pair committed suicide at the end of the massacre.",1999,39.613321,-105.0166498
4/23/1999,Atlanta,Georgia,urban,Middle School,1,,Pah,,1999,33.7489954,-84.3879824
5/20/1999,Conyers,Georgia,,High School,0,6,Wikp,"15-year-old student wounded six students at Heritage High School. A 15-year-old girl was hospitalized in critical condition, and the other victims suffered from non-life-threatening injuries. Shooter initially faced up to 351 years of prison if convicted of aggravated assault and other charges. In 2000 he was found guilty but mentally ill and was sentenced to forty years in prison and sixty-five years of probation.",1999,33.6676103,-84.0176904
8/25/1999,Monticello,Georgia,suburban,High School,1,,Pah,,1999,33.3048479,-83.6832289
9/7/1999,Plano,Texas,urban,High School,1,,Pah,,1999,33.0198431,-96.6988856
9/9/1999,San Jose,California,urban,High School,1,,Pah,,1999,37.3382082,-121.8863286
11/19/1999,Deming,New Mexico,,Middle School,1,0,Wikp,"13-year-old fatally shot 13-year-old Deming Middle School schoolmate, Araceli Tena. Shooter said he had intended to commit suicide but was jostled by others and his gun moved.",1999,32.2686981,-107.7586404
12/6/1999,Fort Gibson,Oklahoma,,Middle School,0,6,Wikp,"Before his middle school opened, 13-year-old opened fire in the courtyard. While there were no fatalities, several students felt sparks from the bullets hitting the building walls. Five were injured, including a girl who was shot in the face. Shooter brought the gun from home.",1999,35.7975986,-95.2505173
1/19/2000,New Port Richey,Florida,suburban,High School,0,,Pah,,2000,28.2441768,-82.7192671
2/29/2000,Flint,Michigan,,Elementary School,1,0,Wikp,"Shooting of Kayla Rolland: At Buell Elementary School, 6-year-old fatally shot 6-year-old classmate Kayla Rolland. Owens has since been the youngest documented school shooter.",2000,43.0125274,-83.6874562
5/10/2000,Sierra Vista,Arizona,urban,Elementary School,2,,Pah,,2000,31.5455001,-110.2772856
5/26/2000,Lake Worth,Florida,,Middle School,1,0,Wikp,"13-year-old honor student was sent home for throwing water balloons, but returned to his Lake Worth Middle School with a family pistol. He fatally shot teacher Barry Grunow, a popular teacher.",2000,26.6167555,-80.0684479
6/28/2000,Seattle,Washington,urban,College,2,,Pah,,2000,47.6062095,-122.3320708
7/26/2000,Canton,Ohio,urban,High School,1,,Pah,,2000,40.7989473,-81.378447
8/28/2000,Fayetteville,Arkansas,,College,2,0,Wikp,"36-year-old a PhD candidate in Comparative Literature at University of Arkansas, killed 67-year-old Dr. John R. Locke, the English professor overseeing his coursework. Shooter had been dismissed from this PhD program for lack of progress toward his degree. He shot Dr. Locke three times before committing suicide in the director's office, which had been isolated by campus police.",2000,36.082156,-94.1718542
9/5/2000,Bidwell,Ohio,suburban,Elementary School,2,,Pah,,2000,38.9186892,-82.2990401
